Cliente [cód],Venda anual,Últim venda,Família
3RTE MONTAGENS E INSTALACOES ELETRICAS LTDA [50827],4536,2024-08-20 00:00:00,ELET
3RTE MONTAGENS E INSTALACOES ELETRICAS LTDA [50827],14569.62,2025-08-19 00:00:00,FECH
3RTE MONTAGENS E INSTALACOES ELETRICAS LTDA [50827],4222.85,2025-04-24 00:00:00,IATD
3RW INDUSTRIA E COMERCIO DE MATERIAIS ELETR. LTDA [55542],43.2,2019-09-10 00:00:00,TEFL
3Z MOVIMENTACAO INTELIGENTE LTDA [37369],2366.8,2025-04-17 00:00:00,IATD
3Z MOVIMENTACAO INTELIGENTE LTDA [37369],1790.48,2025-08-11 00:00:00,SATW
40.738.131 ANDRE LUIZ BONES [67574],299.55,2025-09-03 00:00:00,IATD
402 GESTAO E LOCACAO DE AERONAVES S.A [61688],42,2022-05-19 00:00:00,IATD
42.214.040 RENATO DA SILVA DOVAL  [66679],3,2025-02-25 00:00:00,IATD
43.096.299 FELIPE SILVA DE FREITAS [66979],218.8,2025-05-05 00:00:00,IATD
43.280.902 DIEGO GUILHERME PACINI [66984],2593.15,2025-07-15 00:00:00,IATD
45.367.384 JULIANO DOMINGUES TONDIM [65011],26,2024-12-09 00:00:00,_ASD
45.367.384 JULIANO DOMINGUES TONDIM [65011],2677.82,2025-06-10 00:00:00,IATD
45.517.491 JORGE LUIZ KESSLER FILHO [65445],175.2,2024-07-08 00:00:00,IATD
47.203.332 LEANDRO NOZARI SILVEIRA [66556],273.1,2025-02-14 00:00:00,IATD
47.879.126 WELISON ESTEVAN DE ALMEIDA [65656],303.96999999999997,2025-04-03 00:00:00,IATD
48.820.345 KLEBER DARIO GARAHY DA SILVA [63646],400.76,2024-08-15 00:00:00,SATW
49.419.457 LUZARDO BREYER [66547],20.2,2025-01-31 00:00:00,_ASD
49.419.457 LUZARDO BREYER [66547],100.17000000000002,2025-01-31 00:00:00,ELET
49.419.457 LUZARDO BREYER [66547],141.7,2025-01-31 00:00:00,IATD
49.419.457 LUZARDO BREYER [66547],25.56,2025-01-31 00:00:00,PSeI
49.475.381 ANDERSON SEVERO PACHECO [63681],592.55,2025-09-02 00:00:00,_ASD
49.475.381 ANDERSON SEVERO PACHECO [63681],16,2024-10-29 00:00:00,IATD
49.475.381 ANDERSON SEVERO PACHECO [63681],5,2023-10-27 00:00:00,PSeI
49.808.290 VITOR CAETANO VELHO DE AGUIAR [65575],263.3,2024-07-01 00:00:00,IATD
49.847.473 ALESSANDRO DA SILVA [66012],105.35,2025-05-07 00:00:00,IATD
4K SERVICE INSTALACOES LTDA [47805],237.17000000000002,2025-05-13 00:00:00,_OUT
4K SERVICE INSTALACOES LTDA [47805],11.2,2020-03-13 00:00:00,AUTO
4K SERVICE INSTALACOES LTDA [47805],12.7,2016-08-16 00:00:00,ELET
4K SERVICE INSTALACOES LTDA [47805],190.24,2024-11-14 00:00:00,IATD
4K SERVICE INSTALACOES LTDA [47805],221.2,2024-01-11 00:00:00,PAPE
4K SERVICE INSTALACOES LTDA [47805],22,2018-02-28 00:00:00,PSeI
50.735.227 ALEXANDRE CARVALHO DA FE  [67148],90.45,2025-09-01 00:00:00,_ASD
51.831.408 ALINE GOULART PEREIRA [65734],14.75,2025-02-06 00:00:00,_ASD
51.831.408 ALINE GOULART PEREIRA [65734],494.69000000000005,2025-02-13 00:00:00,_OUT
51.831.408 ALINE GOULART PEREIRA [65734],89.46,2025-02-06 00:00:00,IATD
51.831.408 ALINE GOULART PEREIRA [65734],431.8,2025-02-13 00:00:00,PSeI
52.283.886 MATEUS SILVEIRA PEREIRA [66686],6.7,2025-02-28 00:00:00,_ASD
52.283.886 MATEUS SILVEIRA PEREIRA [66686],203.76999999999998,2025-09-10 00:00:00,IATD
53.083.659 ANDRE NUNES MATSCHINSKE [64710],1104,2023-12-18 00:00:00,SATW
54.041.453 CARLOS ALBERTO MACHADO JUNIOR [66416],300.64,2025-05-05 00:00:00,IATD
54.064.390 CILAS VIEIRA DE OLIVEIRA [65581],128.22,2024-10-28 00:00:00,_OUT
54.064.390 CILAS VIEIRA DE OLIVEIRA [65581],7,2024-06-28 00:00:00,IATD
54.609.758 JOCLACIO HENRIQUE DA SILVA [65711],123,2024-07-23 00:00:00,IATD
55.551.806 THIAGO CRISTIANO SOBRINHO JERONIMO [65757],66,2024-08-02 00:00:00,_ASD
55.551.806 THIAGO CRISTIANO SOBRINHO JERONIMO [65757],261.40000000000003,2025-07-21 00:00:00,IATD
55.613.959 EDIMAR BRAGA SEVERO [65778],538.75,2025-08-26 00:00:00,_ASD
55.850.229 RITA DE CASSIA SANTOS BICA  [66444],7.2,2025-01-29 00:00:00,_ASD
55.850.229 RITA DE CASSIA SANTOS BICA  [66444],170.67000000000002,2025-01-29 00:00:00,IATD
56.346.388 BRUNA DA SILVA SIQUEIRA [66533],173.96,2025-08-29 00:00:00,IATD
57.209.798 DENIS RODRIGUES PERES [67443],136.62,2025-08-07 00:00:00,_OUT
57.209.798 DENIS RODRIGUES PERES [67443],486.3,2025-08-07 00:00:00,IATD
57.513.678 MARCO AURELIO ANDRADE [67080],108.12,2025-05-23 00:00:00,ELET
59.482.085 GERUSA FERREIRA [66971],657.39,2025-07-04 00:00:00,IATD
5B GROUP LTDA [67045],25,2025-05-30 00:00:00,IATD
5B GROUP LTDA [67045],1912.85,2025-09-01 00:00:00,PAPE
5B GROUP LTDA [67045],23.88,2025-07-14 00:00:00,PSeI
6 PRO EVENTOS EMPRESARIAIS LTDA [56812],840,2020-03-06 00:00:00,SATW
A & C MATERIAIS ELETRICOS LTDA [31146],8912.32,2013-12-18 00:00:00,ELET
A & C MATERIAIS ELETRICOS LTDA [31146],3135.9,2014-02-04 00:00:00,IATD
A & C MATERIAIS ELETRICOS LTDA [31146],82,2013-11-29 00:00:00,PSeI
A BUHLER S/A CURTUME [27553],421.5,2018-05-17 00:00:00,_ASD
A BUHLER S/A CURTUME [27553],1343.4,2023-01-18 00:00:00,PR3M
A D BONELLI & CIA LTDA - ME [48610],12.7,2016-12-12 00:00:00,_ASD
A D BONELLI & CIA LTDA - ME [48610],100,2017-01-18 00:00:00,_OUT
A D BONELLI & CIA LTDA - ME [48610],69.12,2016-12-22 00:00:00,ELET
A D BONELLI & CIA LTDA - ME [48610],2597.51,2017-09-12 00:00:00,IATD
A D BONELLI & CIA LTDA - ME [48610],437,2017-03-27 00:00:00,PAPE
A D BONELLI & CIA LTDA - ME [48610],235.5,2017-03-27 00:00:00,PSeI
A D BONELLI COMUNICACAO VISUAL [61368],17.02,2024-06-21 00:00:00,_ASD
A D BONELLI COMUNICACAO VISUAL [61368],564.63,2023-11-07 00:00:00,_OUT
A D BONELLI COMUNICACAO VISUAL [61368],4795.6900000000005,2025-04-25 00:00:00,IATD
A D BONELLI COMUNICACAO VISUAL [61368],999.5699999999999,2024-06-21 00:00:00,PAPE
A D BONELLI COMUNICACAO VISUAL [61368],189.16,2024-07-19 00:00:00,PSeI
A DE O SILVA VIDRACARIA ME [52295],27.5,2020-01-30 00:00:00,_ASD
A DE O SILVA VIDRACARIA ME [52295],210,2022-10-20 00:00:00,IATD
A DE O SILVA VIDRACARIA ME [52295],40.55,2021-10-26 00:00:00,PSeI
A G DISTRIBUIDORA DE MATERIAIS HIDRAULICOS EIRELI [41642],1018.12,2016-05-03 00:00:00,IATD
A GRINGS S/A ROLANTE [56112],3956.4,2020-03-04 00:00:00,PSeI
A J M DE ASSIS ME [39977],30,2014-03-18 00:00:00,_EPI
A J M DE ASSIS ME [39977],47.16,2014-03-18 00:00:00,_OUT
A J M DE ASSIS ME [39977],188,2014-10-28 00:00:00,IATD
A J M DE ASSIS ME [39977],193,2014-11-21 00:00:00,PSeI
A J MATRIZARIA LTDA ME [33735],30,2013-04-19 00:00:00,_EPI
A J MATRIZARIA LTDA ME [33735],5944.91,2014-11-20 00:00:00,IATD
A M COM DE ART DE PAPAELARIA E SERV DE TELE ENTREG [47290],114,2022-10-21 00:00:00,_ASD
A M COM DE ART DE PAPAELARIA E SERV DE TELE ENTREG [47290],193,2023-09-18 00:00:00,IATD
A M COM DE ART DE PAPAELARIA E SERV DE TELE ENTREG [47290],1515.8,2023-08-02 00:00:00,PSeI
A MAIS GRAFICA LTDA [45002],722.25,2022-07-06 00:00:00,IATD
A N BORDASCH - ME [41271],4.5,2014-08-05 00:00:00,_CFM
A N BORDASCH - ME [41271],176.52,2014-08-05 00:00:00,_OUT
A N BORDASCH - ME [41271],100.8,2014-08-05 00:00:00,ELET
A N BORDASCH - ME [41271],125.03999999999999,2014-08-05 00:00:00,IATD
A N BORDASCH - ME [41271],40,2014-08-05 00:00:00,PSeI
A N HOFFMANN LAUDOS [62760],763.2,2024-06-19 00:00:00,SATW
A P LUCENA & CIA LTDA [43239],221.84,2021-10-08 00:00:00,_ASD
A P LUCENA & CIA LTDA [43239],42.14,2020-01-27 00:00:00,ELET
A P LUCENA & CIA LTDA [43239],3114.5,2017-10-16 00:00:00,FTAQ
A P LUCENA & CIA LTDA [43239],162,2017-06-27 00:00:00,IATD
A PACHECO DEL SENT EQUIPAMENTOS CONTRA INCENDI [59255],66.26,2022-04-20 00:00:00,IATD
A PACHECO DEL SENT EQUIPAMENTOS CONTRA INCENDI [59255],278.88,2025-01-10 00:00:00,PAPE
A PACHECO DEL SENT EQUIPAMENTOS CONTRA INCENDI [59255],894.5,2023-10-11 00:00:00,PSeI
A PACHECO DEL SENT EQUIPAMENTOS CONTRA INCENDI [59255],15605.19,2024-09-23 00:00:00,SATW
A R FEIJO LTDA [50806],5156.8,2025-07-09 00:00:00,IATD
A R FEIJO LTDA [50806],110.03,2024-08-01 00:00:00,PSeI
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261],10625.72,2022-02-11 00:00:00,_OUT
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261],1997.5000000000002,2021-03-16 00:00:00,FTAQ
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261],99.63,2024-06-28 00:00:00,IATD
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261],78.43,2020-11-05 00:00:00,PAPE
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261],32,2013-02-01 00:00:00,PSeI
A T MIDIA LTDA - ME [38514],2810.52,2024-11-27 00:00:00,IATD
A. B. GLASENAPP  [54718],67.2,2019-05-13 00:00:00,PSeI
A. CASSOL & CIA LTDA.   ME [41675],2,2014-09-03 00:00:00,
A. CASSOL & CIA LTDA.   ME [41675],7,2015-01-26 00:00:00,_ASD
A. CASSOL & CIA LTDA.   ME [41675],18.5,2015-01-26 00:00:00,ELET
A. CASSOL & CIA LTDA.   ME [41675],255.9,2015-05-14 00:00:00,IATD
A. GRINGS S.A. [55727],108,2020-11-11 00:00:00,IATD
A. MUNCHEN FILIAL [35835],973.0999999999999,2013-02-26 00:00:00,IATD
A. P. OLIVEIRA ENGENHARIA LTDA [64114],380,2023-08-16 00:00:00,IATD
A. R. JARDIM LTDA [46106],1734,2016-01-22 00:00:00,IATD
A.C. ALUMINIOS E COMPONENT PARA MOVEIS LTDA [38198],542.9200000000001,2024-10-21 00:00:00,_ASD
A.C. ALUMINIOS E COMPONENT PARA MOVEIS LTDA [38198],90.3,2016-10-24 00:00:00,_EVA
A.C. ALUMINIOS E COMPONENT PARA MOVEIS LTDA [38198],480,2016-10-24 00:00:00,IATD
A.C. ALUMINIOS E COMPONENT PARA MOVEIS LTDA [38198],378,2016-10-24 00:00:00,PSeI
A.D. ARTEFATOS DE BORRACHAS LTDA  [66833],1758,2025-06-03 00:00:00,IATD
A.F DIAS ALMEIDA - ME [49484],100,2017-04-17 00:00:00,_OUT
A.F DIAS ALMEIDA - ME [49484],31.8,2017-04-17 00:00:00,FELT
A.F DIAS ALMEIDA - ME [49484],55,2017-04-17 00:00:00,PSeI
A.F. DE ALBUQUERQUE - ME [47664],202.31,2025-08-15 00:00:00,_OUT
A.F. DE ALBUQUERQUE - ME [47664],69,2020-02-06 00:00:00,ELET
A.F. DE ALBUQUERQUE - ME [47664],44.44,2024-07-24 00:00:00,IATD
A.F. DE ALBUQUERQUE - ME [47664],450.76,2024-12-04 00:00:00,PAPE
A.F. DE ALBUQUERQUE - ME [47664],1111.6,2024-09-18 00:00:00,PSeI
A.F. DE ALBUQUERQUE - ME [47664],372.8,2024-07-24 00:00:00,SATW
A.G. ENTULHOS LTDA - ME [43898],400,2015-05-29 00:00:00,_ASD
A.G. ENTULHOS LTDA - ME [43898],300,2015-05-04 00:00:00,REFL
A.GOMES ALUGUEL DE MAQUINAS E EQUIPAMENTOS LTDA [66121],13,2024-10-15 00:00:00,_ASD
A.MOVIDROS COMERCIO  BENEFICIAMENTO DE VIDROS LTDA [27738],853.8199999999999,2013-11-14 00:00:00,IATD
A.R COMERCIO DE EMBALAGENS LTDA [65360],38,2025-01-09 00:00:00,_ASD
A.R COMERCIO DE EMBALAGENS LTDA [65360],440.35999999999996,2025-07-08 00:00:00,IATD
A.R COMERCIO DE EMBALAGENS LTDA [65360],1828.5100000000002,2025-09-09 00:00:00,PSeI
A2P INDUSTRIA DE MOVEIS LTDA [26232],179.96,2019-02-11 00:00:00,_ASD
A2P INDUSTRIA DE MOVEIS LTDA [26232],631.8,2015-11-13 00:00:00,IATD
A3 COMERCIO E INSTALACOES LTDA [66158],1399.5,2025-04-29 00:00:00,ELET
A3 COMERCIO E INSTALACOES LTDA [66158],124,2025-04-29 00:00:00,IATD
A4 GRAFICA E EDITORA LTDA. [28556],51.81,2014-04-09 00:00:00,_OUT
A4 GRAFICA E EDITORA LTDA. [28556],0.1,2014-04-09 00:00:00,_PVC
A4 GRAFICA E EDITORA LTDA. [28556],877.0400000000001,2014-04-09 00:00:00,IATD
AA COM VIDROS E MANUTENCOES LTDA [45160],5,2022-03-18 00:00:00,_EPI
AA COM VIDROS E MANUTENCOES LTDA [45160],187.42000000000002,2023-04-27 00:00:00,IATD
AA COM VIDROS E MANUTENCOES LTDA [45160],93.68,2022-03-24 00:00:00,PSeI
AA COM VIDROS E MANUTENCOES LTDA [45160],90,2021-10-20 00:00:00,SATW
AA COM VIDROS E MANUTENCOES LTDA [45160],63.27,2023-04-27 00:00:00,SIKA
AAA ROLESS COM ASSIST TECN DE RELOGIOS PONTO LTDA [44373],14,2016-05-10 00:00:00,ELET
AAA ROLESS COM ASSIST TECN DE RELOGIOS PONTO LTDA [44373],143,2020-10-07 00:00:00,IATD
AB VIA CERTA TRANSPORTE & TURISMO LTDA [56231],40.16,2025-06-16 00:00:00,IATD
AB VIA CERTA TRANSPORTE & TURISMO LTDA [56231],37.44,2025-06-16 00:00:00,PAPE
AB VIA CERTA TRANSPORTE & TURISMO LTDA [56231],7.5,2025-06-16 00:00:00,REFL
ABAKAM INDU E COM DE ETIQUETAS E PLACAS LTDA [29093],214.95,2024-11-22 00:00:00,_OUT
ABAKAM INDU E COM DE ETIQUETAS E PLACAS LTDA [29093],39820.31999999999,2025-09-03 00:00:00,IATD
ABAKAM INDU E COM DE ETIQUETAS E PLACAS LTDA [29093],346,2025-05-29 00:00:00,PSeI
ABASTECEDORA DE COMBUSTIVEIS FAGUNDES LTDA [45151],78.30000000000001,2015-10-22 00:00:00,IATD
ABASTESUL DISTRIBUIDORA DE ALIMENTOS LTDA [61257],26350.01,2022-05-09 00:00:00,IATD
ABC LETRAS PLACAS E LUMINOSOS LTDA - ME [48657],105.69,2022-08-08 00:00:00,IATD
ABEIJON & SILVA LTDA [59856],41.730000000000004,2022-01-18 00:00:00,ELET
ABEIJON & SILVA LTDA [59856],3824.1400000000003,2022-10-25 00:00:00,IATD
ABEL DA SILVA BELLO [52403],50,2018-05-30 00:00:00,_OUT
ABEL DA SILVA BELLO [52403],122.19,2021-09-03 00:00:00,IATD
ABILIO GONSALVES COSTA [36574],4.32,2013-05-02 00:00:00,PSeI
ABK COMERCIO DE BRINDES LTDA [59713],620.28,2024-11-11 00:00:00,IATD
ABK COMERCIO DE BRINDES LTDA [59713],3530.38,2024-11-11 00:00:00,PSeI
ABM METALURGICA E JATEAMENTO LTDA - ME [45535],48.54,2015-10-26 00:00:00,_EPI
ABM METALURGICA E JATEAMENTO LTDA - ME [45535],91.9,2015-10-26 00:00:00,IATD
ABNER DA ROSA MARTINS [37696],198,2013-08-09 00:00:00,IATD
ABRASCUT COMERCIO DE ABRASIVOS LTDA [25118],856,2022-07-18 00:00:00,_ASD
ABRASCUT COMERCIO DE ABRASIVOS LTDA [25118],558,2019-05-21 00:00:00,IATD
ABRASSER FERRAMENTAS LTDA. [27542],8626.1,2025-08-28 00:00:00,_ABR
ABRASSER FERRAMENTAS LTDA. [27542],1229.7,2023-11-30 00:00:00,_ASD
ABRASSER FERRAMENTAS LTDA. [27542],170,2018-09-27 00:00:00,_CFM
ABRASSER FERRAMENTAS LTDA. [27542],228,2013-01-04 00:00:00,_EPI
ABRASSER FERRAMENTAS LTDA. [27542],7684.1,2015-09-29 00:00:00,_OUT
ABRASSER FERRAMENTAS LTDA. [27542],243.7,2022-03-29 00:00:00,AUTO
ABRASSER FERRAMENTAS LTDA. [27542],1444.4,2023-02-15 00:00:00,ELET
ABRASSER FERRAMENTAS LTDA. [27542],1843.74,2024-09-04 00:00:00,IATD
ABRASSER FERRAMENTAS LTDA. [27542],6689.4,2024-06-12 00:00:00,PSeI
ABRASSER FERRAMENTAS LTDA. [27542],235.2,2025-06-23 00:00:00,REFL
ABRASSER FERRAMENTAS LTDA. [27542],2050,2018-02-16 00:00:00,SATW
ABRASSER FERRAMENTAS LTDA. [27542],661.2,2023-06-02 00:00:00,SIKA
ABSOLUTE REPRESENTACOES COMERCIAIS LTDA [50689],77,2017-10-04 00:00:00,IATD
ABT COMERCIAL ELETRICA LTDA [53921],480,2024-03-11 00:00:00,ELET
ABT COMERCIAL ELETRICA LTDA [53921],575,2019-05-30 00:00:00,IATD
ACACIA MOVEIS E DECORACOES LTDA [42829],6.75,2015-01-13 00:00:00,FELT
ACADEMIA BIO ALEGRETE LTDA - ME [49282],388.88,2017-03-22 00:00:00,IATD
ACCEL COMERCIAL ELETRICA LTDA [57298],124,2024-06-03 00:00:00,_OUT
ACCEL COMERCIAL ELETRICA LTDA [57298],441.63,2022-07-06 00:00:00,ELET
ACCEL COMERCIAL ELETRICA LTDA [57298],567.69,2025-05-22 00:00:00,IATD
ACCEL COMERCIAL ELETRICA LTDA [57298],43.2,2022-10-03 00:00:00,SATW
ACG FILTROS LTDA - ME [35254],40.67,2021-09-27 00:00:00,_ASD
ACG FILTROS LTDA - ME [35254],88.92,2022-03-22 00:00:00,_OUT
ACG FILTROS LTDA - ME [35254],12,2021-09-27 00:00:00,ELET
ACG FILTROS LTDA - ME [35254],102.1,2022-03-22 00:00:00,IATD
ACG FILTROS LTDA - ME [35254],86.07,2022-03-22 00:00:00,PAPE
ACG FILTROS LTDA - ME [35254],106.75999999999999,2021-09-27 00:00:00,PSeI
ACHYLLES COSTA NETO [35667],24,2013-02-08 00:00:00,IATD
ACIONAMENTOS SPITTI EQUIPAMENTOS LTDA [43173],794.88,2021-02-18 00:00:00,PSeI
ACK GROUP ESQUADRIAS PREMIUM LTDA  [66798],325.28,2025-03-26 00:00:00,ELET
ACO PECAS OLIVEIRA USINAGEM LTDA - ME [48385],3,2020-11-11 00:00:00,_ASD
ACODUTO COMERCIO IMPORTACAO E EXPORTACAO LTDA [60649],4,2021-10-14 00:00:00,_ASD
ACODUTO COMERCIO IMPORTACAO E EXPORTACAO LTDA [60649],25828.8,2022-10-03 00:00:00,ELET
ACODUTO COMERCIO IMPORTACAO E EXPORTACAO LTDA [60649],1235,2022-09-28 00:00:00,IATD
ACOLOG SERVICOS DE TRANSPORTES E LOGISTICA LTDA [45464],71.35,2015-10-19 00:00:00,IATD
ACOS SUL FORT COMERCIO DE FERROS E ACOS LTDA [64220],2948.2799999999997,2025-03-10 00:00:00,REFL
ACOVISA IND E COM DE ACOS ESPECIAIS LTDA [59957],83.21,2022-11-01 00:00:00,PSeI
ACQUA LIVE SUL LTDA - ME [36726],468,2017-09-27 00:00:00,_OUT
ACQUA LIVE SUL LTDA - ME [36726],988.14,2015-09-11 00:00:00,PSeI
ACR DE SOUZA [44315],347.44,2015-08-12 00:00:00,IATD
ACR FABRICACAO DE EMBALAGENS DE PAPEL LTDA [41457],66,2017-07-20 00:00:00,_OUT
